time,epoch,split,metric,value
2026-05-21T02:08:14,27,train,torque_proxy,0.0009478939619288927
2026-05-21T02:28:50,28,vald,jtr,0.04915092965887512
2026-05-21T02:28:50,28,vald,loss_kl,0.11836070891696952
2026-05-21T02:28:50,28,vald,loss_total,0.3703830208484765
2026-05-21T02:28:50,28,vald,matrot,0.20191458150289968
2026-05-21T02:28:50,28,vald,torque_proxy,0.0009568011921075927
2026-05-21T02:28:50,28,train,jtr,0.05305136102136086
2026-05-21T02:28:50,28,train,loss_kl,0.1245238529386594
2026-05-21T02:28:50,28,train,loss_total,0.38488355124205414
2026-05-21T02:28:50,28,train,matrot,0.2063596410015027
2026-05-21T02:28:50,28,train,torque_proxy,0.0009486962548103193
2026-05-21T02:49:26,29,vald,jtr,0.04880452314271228
2026-05-21T02:49:26,29,vald,loss_kl,0.11862741804607695
2026-05-21T02:49:26,29,vald,loss_total,0.3701474426964956
2026-05-21T02:49:26,29,vald,matrot,0.2017566247459315
2026-05-21T02:49:26,29,vald,torque_proxy,0.0009588766456889906
2026-05-21T02:49:26,29,train,jtr,0.05305374549774253
2026-05-21T02:49:26,29,train,loss_kl,0.12454300215482135
2026-05-21T02:49:26,29,train,loss_total,0.38488341857118674
2026-05-21T02:49:26,29,train,matrot,0.20633759055064815
2026-05-21T02:49:26,29,train,torque_proxy,0.0009490803655019767
2026-05-21T03:09:58,30,vald,jtr,0.04894548684337939
2026-05-21T03:09:58,30,vald,loss_kl,0.1180854505547727
2026-05-21T03:09:58,30,vald,loss_total,0.3703634987022321
2026-05-21T03:09:58,30,vald,matrot,0.2023724215432258
2026-05-21T03:09:58,30,vald,torque_proxy,0.0009601400364664823
2026-05-21T03:09:58,30,train,jtr,0.0530087263830536
2026-05-21T03:09:58,30,train,loss_kl,0.1245700050005413
2026-05-21T03:09:58,30,train,loss_total,0.3847760135988818
2026-05-21T03:09:58,30,train,matrot,0.20624804998491042
2026-05-21T03:09:58,30,train,torque_proxy,0.0009492321004270971
2026-05-21T03:30:21,31,vald,jtr,0.04906420643973317
2026-05-21T03:30:21,31,vald,loss_kl,0.11868933783482602
2026-05-21T03:30:21,31,vald,loss_total,0.3702050980779578
2026-05-21T03:30:21,31,vald,matrot,0.20149294460491862
2026-05-21T03:30:21,31,vald,torque_proxy,0.0009586091911771623
2026-05-21T03:30:21,31,train,jtr,0.052993421101123955
2026-05-21T03:30:21,31,train,loss_kl,0.12467134600516283
2026-05-21T03:30:21,31,train,loss_total,0.38474513986630554
2026-05-21T03:30:21,31,train,matrot,0.20613057116296346
2026-05-21T03:30:21,31,train,torque_proxy,0.0009498017738760124
